step	epoch
9	0
19	0
29	0
39	0
49	0
59	0
69	0
79	0
89	0
99	0
109	0
119	0
129	0
139	0
149	0
159	0
169	0
179	0
189	0
199	0
209	0
219	0
229	0
239	0
249	0
259	0
269	0
279	0
284	0
289	1
299	1
309	1
319	1
329	1
339	1
349	1
359	1
369	1
379	1
389	1
399	1
409	1
419	1
429	1
439	1
449	1
459	1
469	1
479	1
489	1
499	1
509	1
519	1
529	1
539	1
549	1
559	1
569	1
569	1
579	2
589	2
599	2
609	2
619	2
629	2
639	2
649	2
659	2
669	2
679	2
689	2
699	2
709	2
719	2
729	2
739	2
749	2
759	2
769	2
779	2
789	2
799	2
809	2
819	2
829	2
839	2
849	2
854	2
859	3
869	3
879	3
889	3
899	3
909	3
919	3
929	3
939	3
949	3
959	3
969	3
979	3
989	3
999	3
1009	3
1019	3
1029	3
1039	3
1049	3
1059	3
1069	3
1079	3
1089	3
1099	3
1109	3
1119	3
1129	3
1139	3
1139	3
1149	4
1159	4
1169	4
1179	4
1189	4
1199	4
1209	4
1219	4
1229	4
1239	4
1249	4
1259	4
1269	4
1279	4
1289	4
1299	4
1309	4
1319	4
1329	4
1339	4
1349	4
1359	4
1369	4
1379	4
1389	4
1399	4
1409	4
1419	4
1424	4
1425	5
